Country,Year,Value,GHG
Lithuania,2012,12263668.82,CO2
Luxembourg,2012,6735634.0,CO2
Hungary,2012,37091290.94,CO2
Malta,2012,2749634.86,CO2
Netherlands,2012,148464406.8,CO2
Austria,2012,48105427.56,CO2
Poland,2012,280684326.34,CO2
Portugal,2012,44382645.09,CO2
Romania,2012,76111609.69,CO2
Slovenia,2012,11308043.92,CO2
Slovakia,2012,28890179.15,CO2
Finland,2012,48272855.44,CO2
Sweden,2012,39673355.25,CO2
Iceland,2012,3773596.3,CO2
Norway,2012,54038380.12,CO2
Switzerland,2012,28332830.57,CO2
Serbia,2012,42904908.19,CO2
Türkiye,2012,272789379.0,CO2
European Union - 27 countries (from 2020),2013,2639744883.43,CO2
Belgium,2013,71323896.52,CO2
Bulgaria,2013,41765716.87,CO2
Czechia,2013,85961864.46,CO2
Denmark,2013,69933338.6,CO2
Germany,2013,702429767.51,CO2
Estonia,2013,19409339.92,CO2
Ireland,2013,33410990.62,CO2
Greece,2013,76825312.93,CO2
Spain,2013,197864331.91,CO2
France,2013,275101264.52,CO2
Croatia,2013,13769372.77,CO2
Italy,2013,275865535.39,CO2
Cyprus,2013,5102842.73,CO2
Latvia,2013,7140942.69,CO2
Lithuania,2013,11347160.63,CO2
Luxembourg,2013,6563498.0,CO2
Hungary,2013,35292390.99,CO2
Malta,2013,2437074.88,CO2
Netherlands,2013,147784062.38,CO2
Austria,2013,46755719.22,CO2
Poland,2013,278009522.57,CO2
Portugal,2013,42672275.82,CO2
Romania,2013,65715183.04,CO2
Slovenia,2013,11106571.61,CO2
Slovakia,2013,28527684.46,CO2
Finland,2013,49154693.73,CO2
Sweden,2013,38474528.66,CO2
Iceland,2013,4179345.72,CO2
Norway,2013,54324391.23,CO2
Switzerland,2013,28687233.25,CO2
Serbia,2013,44328973.53,CO2
Türkiye,2013,265510720.0,CO2
European Union - 27 countries (from 2020),2014,2536317400.84,CO2
Belgium,2014,69202786.13,CO2
Bulgaria,2014,44482999.13,CO2
Czechia,2014,85070438.35,CO2
Denmark,2014,64676052.67,CO2
Germany,2014,662356550.91,CO2
