Country,Year,Value,GHG,Iso3
Malta,2021,2487478.71,CO2,MLT
Netherlands,2021,126891000.92,CO2,NLD
Austria,2021,45072094.1,CO2,AUT
Poland,2021,301953740.94,CO2,POL
Portugal,2021,34562853.42,CO2,PRT
Romania,2021,59881572.48,CO2,ROU
Slovenia,2021,10053994.64,CO2,SVN
Slovakia,2021,28705471.83,CO2,SVK
Finland,2021,34103501.66,CO2,FIN
Sweden,2021,33666297.75,CO2,SWE
Iceland,2021,3872976.33,CO2,ISL
Norway,2021,50386252.76,CO2,NOR
Switzerland,2021,22238481.77,CO2,CHE
Serbia,2021,43308686.0,CO2,SRB
Türkiye,2021,349242964.0,CO2,TUR
Belgium,2022,66214322.31,CO2,BEL
Bulgaria,2022,45957738.53,CO2,BGR
Czechia,2022,77121407.77,CO2,CZE
Denmark,2022,62745554.5,CO2,DNK
Germany,2022,543638476.74,CO2,DEU
Estonia,2022,11086367.58,CO2,EST
Ireland,2022,38556757.43,CO2,IRL
Greece,2022,54630305.6,CO2,GRC
Spain,2022,182676092.15,CO2,ESP
France,2022,235168416.28,CO2,FRA
Croatia,2022,12467259.06,CO2,HRV
Italy,2022,248705540.08,CO2,ITA
Cyprus,2022,5549664.37,CO2,CYP
Latvia,2022,6567978.58,CO2,LVA
Lithuania,2022,15222431.94,CO2,LTU
Luxembourg,2022,6854931.0,CO2,LUX
Hungary,2022,35658206.71,CO2,HUN
Malta,2022,3054450.56,CO2,MLT
Netherlands,2022,120955699.52,CO2,NLD
Austria,2022,46145695.5,CO2,AUT
Poland,2022,290536493.45,CO2,POL
Portugal,2022,36416170.44,CO2,PRT
Romania,2022,55897874.56,CO2,ROU
Slovenia,2022,9020508.49,CO2,SVN
Slovakia,2022,25078804.03,CO2,SVK
Finland,2022,34640190.89,CO2,FIN
Sweden,2022,32899479.56,CO2,SWE
Iceland,2022,4940792.11,CO2,ISL
Norway,2022,51380854.79,CO2,NOR
Switzerland,2022,22952844.33,CO2,CHE
Serbia,2022,43562540.39,CO2,SRB
Türkiye,2022,336372930.0,CO2,TUR
Belgium,2023,61481321.41,CO2,BEL
Bulgaria,2023,31872057.31,CO2,BGR
Czechia,2023,67950178.59,CO2,CZE
Denmark,2023,60965641.28,CO2,DNK
Germany,2023,477174998.32,CO2,DEU
Estonia,2023,8391837.16,CO2,EST
Ireland,2023,38287501.26,CO2,IRL
Greece,2023,46879879.95,CO2,GRC
Spain,2023,168009695.12,CO2,ESP
France,2023,216764078.21,CO2,FRA
Croatia,2023,11610000.23,CO2,HRV
Italy,2023,228167639.98,CO2,ITA
Cyprus,2023,5568842.86,CO2,CYP
Latvia,2023,6668554.46,CO2,LVA
Lithuania,2023,14807599.23,CO2,LTU
